# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	234938
#@/user_id	719dad4c-c9d9-4b1c-b8ec-191ba8a2c940
a 	吖	c=1 d=1.89545e-23 t=234932
a 	啊	c=1465 d=1.69026 t=234932
a 	嗄	c=1 d=5.6047e-13 t=234932
a 	錒	c=11 d=1 t=186193
a 	阿	c=27 d=0.503552 t=234932
a a 	呵呵	c=126 d=0.631694 t=234932
a a a 	呵呵呵	c=1 d=1 t=179538
a a a 	啊啊啊	c=149 d=0.227698 t=234932
a a a a 	啊啊啊啊	c=33 d=0.133989 t=234932
a a a a a 	啊啊啊啊啊	c=12 d=0.0011536 t=234932
a a a a a a 	啊啊啊啊啊啊	c=4 d=0.0114385 t=234932
a a a a a a a 	啊啊啊啊啊啊啊	c=2 d=0.0020396 t=234932
a a a a a a a a 	啊啊啊啊啊啊啊啊	c=1 d=1 t=204634
a a a a a a a a a 	啊啊啊啊啊啊啊啊啊	c=1 d=1 t=137719
a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊	c=2 d=1.99005 t=127003
a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=7.43115e-08 t=234932
a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=207330
a a a shao deng 	啊啊啊稍等	c=1 d=1 t=179016
a a a shi 	啊啊啊是	c=1 d=1 t=179092
a a qin ai 	呵呵親愛	c=1 d=1 t=185796
a a sa 	啊阿萨	c=3 d=8.58924e-06 t=234932
a a sa a 	啊阿萨啊	c=1 d=1 t=185795
a a sa sa 	啊啊灑灑	c=1 d=1 t=204898
a bu jia 	阿布賈	c=0 d=3.03013e-14 t=234932
a da 	阿達	c=2 d=1 t=216366
a da shi dai 	啊大時代	c=3 d=7.37751e-11 t=234932
a er fa 	阿爾法	c=1 d=0.000934966 t=234932
a fa 	阿伐	c=3 d=0.100025 t=156399
